Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
8001,ITOCHU CORP ORD,JP3143600009,TSE,JPY,138500,2080.0
8002,MARUBENI CORP ORD,JP3877600001,TSE,JPY,2600,4893.0
8015,TOYOTA TSUSHO CORP ORD,JP3635000007,TSE,JPY,3800,7226.0
8031,MITSUI & CO LTD,JP3893600001,TSE,JPY,14100,4899.0
8035,TOKYO ELECTRON LTD ORD,JP3571400005,TSE,JPY,3900,54290.0
8058,MITSUBISHI CORP,JP3898400001,TSE,JPY,6800,4794.0
8113,UNICHARM CORP ORD,JP3951600000,TSE,JPY,26200,1003.5
8136,SANRIO CO LTD ORD,JP3343200006,TSE,JPY,12000,1176.0
8267,AEON CO LTD ORD,JP3388200002,TSE,JPY,80600,1385.5
8306,MITSUBISHI UFJ FINANCIAL GRO,JP3902900004,TSE,JPY,193500,3508.0
8308,RESONA HOLDINGS (DAIWA BANK) ORD,JP3500610005,TSE,JPY,12900,2378.0
8309,SUMITOMO MITSUI TRUST HOLDINGS ORD,JP3892100003,TSE,JPY,15600,1715.5
8316,SUMITOMO MITSUI FINANCIAL GR,JP3890350006,TSE,JPY,64700,6606.0
8331,CHIBA BANK LTD ORD,JP3511800009,TSE,JPY,3500,2753.5
8411,MIZUHO FINANCIAL GROUP INC,JP3885780001,TSE,JPY,41800,8110.0
8473,SBI HOLDINGS INC ORD,JP3436120004,TSE,JPY,10200,3216.0
8591,ORIX CORP ORD,JP3200450009,TSE,JPY,38500,6115.0
8593,MITSUBISHI HC CAPITAL INC,JP3499800005,TSE,JPY,16800,1395.0
8601,DAIWA SECURITIES GROUP INC ORD,JP3502200003,TSE,JPY,23800,1779.0
8604,NOMURA HOLDINGS INC ORD,JP3762600009,TSE,JPY,56700,1535.0
8630,SOMPO HOLDINGS INC,JP3165000005,TSE,JPY,16000,6757.0
8697,JAPAN EXCHANGE GROUP INC,JP3183200009,TSE,JPY,18400,2238.0
8725,MS&AD INS (MITSUI SUMITOMO) ORD,JP3890310000,TSE,JPY,23300,4945.0
8750,DAI-ICHI LIFE HOLDINGS INC,JP3476480003,TSE,JPY,67300,1788.5
8766,TOKIO MARINE HOLDINGS INC,JP3910660004,TSE,JPY,35000,7347.0
8795,T&D HOLDINGS INC ORD,JP3539220008,TSE,JPY,8600,4795.0
8801,MITSUI FUDOSAN CO LTD ORD,JP3893200000,TSE,JPY,91200,1498.0
8802,MITSUBISHI ESTATE CO LTD ORD,JP3899600005,TSE,JPY,37900,3687.0
8830,SUMITOMO REALTY & DEVELOPMNT ORD,JP3409000001,TSE,JPY,21500,3339.0
8951,NIPPON BUILDING FUND INC.,JP3027670003,TSE,JPY,273,128400.0
9020,EAST JAPAN RAILWAY CO,JP3783600004,TSE,JPY,74300,3539.0
9021,WEST JAPAN RAILWAY CO,JP3659000008,TSE,JPY,28200,2959.5
9022,CENTRAL JAPAN RAILWAY CO,JP3566800003,TSE,JPY,55800,3936.0
