No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
145,BHE,INE263A01024,BHARAT ELECTRONICS LTD,インド,IN,インド・ルピー,INR,7243.8167,4711965.123619261,0.0012019043644304786,MOTHER FUND
146,2020,KYG040111059,ANTA SPORTS PRODUCTS LTD,中国,CN,香港・ドル,HKD,2873.514,4686712.87181339,0.0011954631470485763,MOTHER FUND
147,TATA,INE081A01020,TATA STEEL LIMITED,インド,IN,インド・ルピー,INR,14834.4828,4686135.98118927,0.001195315996689705,MOTHER FUND
148,UTCEM,INE481G01011,ULTRATECH CEMENT LTD,インド,IN,インド・ルピー,INR,233.0561,4666116.953379361,0.0011902096437636665,MOTHER FUND
149,ABEV3,BRABEVACNOR1,AMBEV SA,ブラジル,BR,ブラジル・レアル,BRL,9150.9015,4634115.358750861,0.0011820468379610664,MOTHER FUND
150,PWGR,INE752E01010,POWER GRID CORP OF INDIA LTD,インド,IN,インド・ルピー,INR,9431.6361,4553905.150190131,0.0011615872213867034,MOTHER FUND
151,207940,KR7207940008,SAMSUNG BIOLOGICS CO LTD,韓国,KR,韓国・ウォン,KRW,26.4273,4523125.426018661,0.0011537360841547622,MOTHER FUND
152,1109,KYG2108Y1052,CHINA RESOURCES LAND LTD,中国,CN,香港・ドル,HKD,6462.6584,4502275.62715111,0.001148417822325787,MOTHER FUND
153,7769,TW0007769002,HON PRECISION INC,台湾,TW,台湾・ドル,TWD,160.0843,4447538.560114001,0.001134455766571543,MOTHER FUND
154,HNDL,INE038A01020,HINDALCO INDUSTRIES LIMITED,インド,IN,インド・ルピー,INR,2690.7511,4412767.15943789,0.001125586452573336,MOTHER FUND
155,SBSP3,BRSBSPACNOR5,CIA SANEAMENTO BASICO DE SP,ブラジル,BR,ブラジル・レアル,BRL,5057.2513,4398389.03709358,0.0011219189534419614,MOTHER FUND
156,033780,KR7033780008,KT & G CORP,韓国,KR,韓国・ウォン,KRW,209.3103,4358968.90705209,0.0011118638649384855,MOTHER FUND
157,SABIC,SA0007879121,SAUDI BASIC INDUSTRIES CORP,サウジアラビア,SA,サウジアラビア・リヤル,SAR,2027.7351,4313690.01008948,0.0011003143516360274,MOTHER FUND
158,BPAC11,BRBPACUNT006,BANCO BTG PACTUAL SA - UNIT,ブラジル,BR,ブラジル・レアル,BRL,2387.9248,4290032.57190704,0.0010942799312919143,MOTHER FUND
159,ALE,LU2237380790,ALLEGRO.EU SA,ルクセンブルク,LU,ポーランド・ズロチ,PLN,2199.8257,4261199.16656331,0.0010869252512773467,MOTHER FUND
160,ADCB,AEA000201011,ABU DHABI COMMERCIAL BANK,アラブ首長国連邦,AE,ＵＡＥ・ディルハム,AED,6521.4628,4260895.513238311,0.001086847796914461,MOTHER FUND
161,2892,TW0002892007,FIRST FINANCIAL HOLDING CO,台湾,TW,台湾・ドル,TWD,24200.2842,4247010.7308295,0.0010833061364525305,MOTHER FUND
162,2059,TW0002059003,KING SLIDE WORKS CO LTD,台湾,TW,台湾・ドル,TWD,120.0633,4237823.66359617,0.001080962745549931,MOTHER FUND
163,HCLT,INE860A01027,HCL TECHNOLOGIES LTD,インド,IN,インド・ルピー,INR,1815.6233,4150629.2417954504,0.0010587216309901142,MOTHER FUND
164,386,CNE1000002Q2,CHINA PETROLEUM & CHEMICAL-H,中国,CN,香港・ドル,HKD,45102.4307,4121703.6678891005,0.0010513434410821647,MOTHER FUND
165,6223,TW0006223001,MPI CORPORATION,台湾,TW,台湾・ドル,TWD,173.4247,4115160.23355743,0.001049674374763703,MOTHER FUND
166,2423,KYG5223Y1089,KE HOLDINGS INC-CL A,ケイマン諸島（英領）,KY,香港・ドル,HKD,4591.7527,4083289.5345631,0.0010415449571611142,MOTHER FUND
167,000810,KR7000810002,SAMSUNG FIRE & MARINE INSURANCE,韓国,KR,韓国・ウォン,KRW,58.5642,4056655.36797456,0.0010347512479069278,MOTHER FUND
168,ACWA,SA15CGS10H12,ACWA POWER CO,サウジアラビア,SA,サウジアラビア・リヤル,SAR,503.4786,4051071.4792171107,0.0010333269376474076,MOTHER FUND
169,TPEIR,GRS831003009,PIRAEUS BANK SA,ギリシャ,GR,ユーロ,EUR,2215.8342,4040422.9219404305,0.0010306107572152616,MOTHER FUND
170,EUROB,GRS829003003,EUROBANK SA,ギリシャ,GR,ユーロ,EUR,4882.5726,4040262.3973617605,0.0010305698114131089,MOTHER FUND
171,2880,TW0002880002,HUA NAN FINANCIAL HOLDINGS C,台湾,TW,台湾・ドル,TWD,19138.1637,4035095.70175221,0.0010292519166834398,MOTHER FUND
172,EMBJ3,BREMBJACNOR1,EMBRAER SA,ブラジル,BR,ブラジル・レアル,BRL,1466.1058,4007192.9467581203,0.0010221346222792588,MOTHER FUND
173,009540,KR7009540006,HD KOREA SHIPBUILDING & OFFSHORE ENGINEE,韓国,KR,韓国・ウォン,KRW,96.0506,3967209.2397740204,0.0010119357794038289,MOTHER FUND
174,PTT-R,TH0646010R18,PTT PCL-NVDR,タイ,TH,タイ・バーツ,THB,21357.9199,3946943.6020280006,0.0010067665224556366,MOTHER FUND
175,1347,HK0000218211,HUA HONG GRACE SEMICONDUCTOR,香港,HK,香港・ドル,HKD,1534.1417,3945037.5977749,0.0010062803484771957,MOTHER FUND
176,034730,KR7034730002,SK INC,韓国,KR,韓国・ウォン,KRW,75.1062,3943965.5129049406,0.0010060068864607252,MOTHER FUND
177,TVSL,INE494B01023,TVS MOTOR CO LTD,インド,IN,インド・ルピー,INR,549.6229,3909025.9569629706,0.0009970946802630568,MOTHER FUND
178,2601,CNE1000009Q7,CHINA PACIFIC INSURANCE GR-H,中国,CN,香港・ドル,HKD,6016.5034,3863537.34950616,0.000985491675062498,MOTHER FUND
179,329180,KR7329180004,HD HYUNDAI HEAVY INDUSTRIES CO LTD,韓国,KR,韓国・ウォン,KRW,76.4403,3838378.1067057303,0.0009790741819499056,MOTHER FUND
180,INDIGO,INE646L01027,INTERGLOBE AVIATION LTD,インド,IN,インド・ルピー,INR,433.5618,3832488.7903551105,0.0009775719647560984,MOTHER FUND
181,APNT,INE021A01026,ASIAN PAINTS LTD,インド,IN,インド・ルピー,INR,821.7663,3813881.5597392507,0.0009728257259575419,MOTHER FUND
182,PZU,PLPZU0000011,POWSZECHNY ZAKLAD UBEZPIECZE,ポーランド,PL,ポーランド・ズロチ,PLN,1239.3197,3786534.0706421104,0.0009658500659855891,MOTHER FUND
183,PEO,PLPEKAO00016,BANK PEKAO SA,ポーランド,PL,ポーランド・ズロチ,PLN,353.5196,3738526.82947768,0.0009536046203666123,MOTHER FUND
184,KGH,PLKGHM000017,KGHM POLSKA MIEDZ S.A.,ポーランド,PL,ポーランド・ズロチ,PLN,280.1476,3719796.8141679,0.0009488270622658887,MOTHER FUND
185,BBRI,ID1000118201,BANK RAKYAT INDONESIA,インドネシア,ID,インドネシア・ルピア,IDR,139540.5624,3713313.90505965,0.0009471734344169995,MOTHER FUND
186,ABG,ZAE000255915,ABSA GROUP LTD,南アフリカ,ZA,南アフリカ・ランド,ZAR,1683.5537,3697050.9496171107,0.0009430251615388859,MOTHER FUND
187,1378,KYG211501005,CHINA HONGQIAO GROUP LTD,中国,CN,香港・ドル,HKD,7483.9432,3686437.75764069,0.0009403180019096567,MOTHER FUND
188,EIM,INE066A01021,EICHER MOTORS LTD,インド,IN,インド・ルピー,INR,273.4774,3656974.3270101002,0.0009328026182136923,MOTHER FUND
189,3665,KYG114741062,BIZLINK HOLDING INC,ケイマン諸島（英領）,KY,台湾・ドル,TWD,386.8705,3652864.1880888804,0.0009317542246500245,MOTHER FUND
190,RIBL,SA0007879048,RIYAD BANK,サウジアラビア,SA,サウジアラビア・リヤル,SAR,4168.4096,3636448.0185861704,0.0009275668707000482,MOTHER FUND
191,066570,KR7066570003,LG ELECTRONICS INC,韓国,KR,韓国・ウォン,KRW,219.0487,3633707.6813987205,0.0009268678792730749,MOTHER FUND
192,1216,TW0001216000,UNI-PRESIDENT ENTERPRISES CO,台湾,TW,台湾・ドル,TWD,9629.5537,3598839.62979828,0.0009179739120432057,MOTHER FUND
