Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
4612,NIPPON PAINT HOLDINGS CO LTD,JP3749400002,TSE,JPY,2800,1201.0
4684,OBIC CO LTD ORD,JP3173400007,TSE,JPY,900,4729.0
4689,LY CORP,JP3933800009,TSE,JPY,5200,525.6
4768,OTSUKA CORP ORD,JP3188200004,TSE,JPY,600,3478.0
4901,FUJIFILM HOLDINGS CORP ORD,JP3814000000,TSE,JPY,1900,3217.0
4911,SHISEIDO CO LTD,JP3351600006,TSE,JPY,700,3696.0
5016,JX ADVANCED META ORD,JP3379550001,TSE,JPY,1400,3591.0
5108,BRIDGESTONE CORP ORD,JP3830800003,TSE,JPY,3700,4117.0
5201,AGC INC,JP3112000009,TSE,JPY,300,5802.0
5706,MITSUI MINING & SMELTING CO LTD ORD,JP3888400003,TSE,JPY,200,28210.0
5802,SUMITOMO ELECTRIC INDUSTRIES LTD,JP3407400005,TSE,JPY,6400,2178.5
5803,FUJIKURA LTD,JP3811000003,TSE,JPY,4700,5280.0
6098,RECRUIT HOLDINGS CO LTD,JP3970300004,TSE,JPY,4000,15900.0
6146,DISCO CORP ORD,JP3548600000,TSE,JPY,400,61360.0
6273,SMC CORP ORD,JP3162600005,TSE,JPY,100,71090.0
6301,KOMATSU LTD,JP3304200003,TSE,JPY,1900,7065.0
6326,KUBOTA CORP,JP3266400005,TSE,JPY,1500,2712.0
6361,EBARA CORP ORD,JP3166000004,TSE,JPY,1800,4921.0
6367,DAIKIN INDUSTRIES LTD ORD,JP3481800005,TSE,JPY,500,20700.0
6383,DAIFUKU CO LTD,JP3497400006,TSE,JPY,1000,5900.0
6479,MINEBEA MITSUMI INC,JP3906000009,TSE,JPY,600,3365.0
6501,HITACHI LTD,JP3788600009,TSE,JPY,15200,5196.0
6503,MITSUBISHI ELECTRIC CORP,JP3902400005,TSE,JPY,6400,5602.0
6504,FUJI ELECTRIC (FUJI ELEC HLDGS) ORD,JP3820000002,TSE,JPY,300,13885.0
6701,NEC CORP ORD,JP3733000008,TSE,JPY,3800,4656.0
6702,FUJITSU LTD ORD,JP3818000006,TSE,JPY,6500,3646.0
6723,RENESAS ELECTRONICS CORP,JP3164720009,TSE,JPY,3000,3433.0
6752,PANASONIC HOLDINGS CORP,JP3866800000,TSE,JPY,5000,4303.0
6758,SONY GROUP CORP,JP3435000009,TSE,JPY,20300,3785.0
6762,TDK CORP ORD,JP3538800008,TSE,JPY,4600,3041.0
6841,YOKOGAWA ELECTRIC CORP ORD,JP3955000009,TSE,JPY,800,5000.0
6857,ADVANTEST CORP ORD,JP3122400009,TSE,JPY,2900,35900.0
6861,KEYENCE CORP ORD,JP3236200006,TSE,JPY,500,79900.0
6902,DENSO CORP ORD,JP3551500006,TSE,JPY,2600,1948.5
6920,LASERTEC CORP,JP3979200007,TSE,JPY,300,35120.0
6954,FANUC CORP,JP3802400006,TSE,JPY,2400,6035.0
6971,KYOCERA CORP ORD,JP3249600002,TSE,JPY,1600,3608.0
6981,MURATA MANUFACTURING LTD ORD,JP3914400001,TSE,JPY,3900,7091.0
6988,NITTO DENKO CORP,JP3684000007,TSE,JPY,1700,3414.0
7011,MITSUBISHI HEAVY INDUSTRIES LTD,JP3900000005,TSE,JPY,6300,3932.0
7012,KAWASAKI HEAVY INDUSTRIES ORD,JP3224200000,TSE,JPY,1200,2603.5
7186,CONCORDIA FINANCIAL GROUP LTD,JP3305990008,TSE,JPY,1400,1882.5
7201,NISSAN MOTOR CO LTD ORD,JP3672400003,TSE,JPY,2900,336.0
7202,ISUZU MOTORS LTD,JP3137200006,TSE,JPY,1000,2228.5
7203,TOYOTA MOTOR CORP,JP3633400001,TSE,JPY,12700,3132.0
7259,AISIN CORP,JP3102000001,TSE,JPY,700,2269.0
7269,SUZUKI MOTOR CORP ORD,JP3397200001,TSE,JPY,3200,2103.5
