No.,種別 （Sector）,Sector,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,残高数量 Quantity,単価 Price,評価金額(円） Valuation (yen),純資産比率 % of NAV,クーポン Coupon,修正デュレーション Modified Duration,償還日 Maturity Date,MOTHER FUND/DIRECT
857,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0906.6794,JP351265EJ42,地方公共団体金融機構債券　第６回,JAPAN FIN ORG MUNICIPAL,29494387.5324,52.81600000000001,15577755.719107103,7.468178422047802e-05,0.85,18.4867498483789,2048-04-28 00:00:00,MOTHER FUND
858,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5167,JP339170AM32,貸付債権担保第１６７回住宅金融支援機構債,KIKO 167 1,22162082.7918,70.198,15557338.8192256,7.458390295061504e-05,0.41,0.304119244867005,2056-04-10 00:00:00,MOTHER FUND
859,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5165,JP339170DM13,貸付債権担保第１６５回住宅金融支援機構債,KIKO 165 1,22174470.4346,69.872,15493745.970267002,7.427903057300635e-05,0.36,0.302709822576942,2056-02-10 00:00:00,MOTHER FUND
860,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5168,JP339170EM46,貸付債権担保第１６８回住宅金融支援機構債,KIKO 168 1,21939990.0537,70.07800000000002,15375106.1236654,7.371025573896631e-05,0.4,0.303589030485423,2056-05-10 00:00:00,MOTHER FUND
861,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5098,JP339170DF61,貸付債権担保第９８回住宅金融支援機構債券,KIKO 98 1,18918142.5791,81.222,15365693.727244101,7.36651314880018e-05,0.9,0.354100279124099,2050-07-10 00:00:00,MOTHER FUND
862,地方債証券,Municipal Bond,B.0128.198,JP2990001K93,共同発行市場地方債　公募第１９８回,MAJOR JOINT LOCAL BOND,16221913.1428,94.593,15344794.299182503,7.356493691537069e-05,0.05,3.12225384236629,2029-09-25 00:00:00,MOTHER FUND
863,普通社債券（含む投資法人債券）,Corporate bond(incl investment corporation bond),B.9142.2,JP324701BK33,九州旅客鉄道　第２回社債間限定同順位特約,KYUSHU RAILWAY CO,29494387.5324,51.532000000000004,15199047.783191202,7.286620918755056e-05,0.929,18.7359953844302,2049-03-05 00:00:00,MOTHER FUND
864,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0905.9009,JP374060A2A9,日本高速道路保有・債務返済機構承継　財投,JAPAN EXPRESSWAY HOLDING,14747193.7662,102.992,15188429.8036796,7.281530521466502e-05,2.9,5.30322776574786,2032-05-20 00:00:00,MOTHER FUND
865,地方債証券,Municipal Bond,B.0104.440,JP2270001K17,大阪府　公募第４４０回,OSAKA PREFECTURE,15632025.3922,96.26700000000001,15048481.884277102,7.214437671203721e-05,0.2,2.47347457294193,2029-01-30 00:00:00,MOTHER FUND
866,地方債証券,Municipal Bond,B.0150.8005,JP22710048C6,大阪市　公募（２０年）第５回,OSAKA CITY,14747193.7662,101.69600000000001,14997306.172469702,7.18990337027203e-05,2.47,2.06580518054999,2028-09-21 00:00:00,MOTHER FUND
867,普通社債券（含む投資法人債券）,Corporate bond(incl investment corporation bond),B.8315.2301,JP358920D9A4,三菱東京ＵＦＪ銀行　第２３回劣後特約付,MUFG BANK LTD,14747193.7662,101.688,14996126.396968402,7.189337770573297e-05,2.91,3.02980338470068,2029-10-16 00:00:00,MOTHER FUND
868,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.107,JP339170AD58,貸付債権担保第７２回住宅金融支援機構債券,KIKO 72 1,16733640.7665,89.58500000000001,14990832.006934403,7.186799571225278e-05,1.08,0.393355631077185,2048-05-10 00:00:00,MOTHER FUND
869,地方債証券,Municipal Bond,B.0108.2002,JP2230001865,愛知県　公募（２０年）平成２０年度第２回,AICHI PREFECTURE,14747193.7662,101.57500000000002,14979462.068012603,7.181348674828717e-05,2.46,1.8384477435353,2028-06-20 00:00:00,MOTHER FUND
870,普通社債券（含む投資法人債券）,Corporate bond(incl investment corporation bond),B.8959.7,JP304553C730,野村不動産オフィスファンド投資法人　第７,NOMURA REAL ESTATE MASTE,14747193.7662,101.563,14977692.404760601,7.180500275280593e-05,2.9,1.57443176158072,2028-03-17 00:00:00,MOTHER FUND
871,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0906.8025,JP328620C861,公営企業債券（２０年）　第２５回財投機関,JAPAN FIN ORG MUNICIPAL,14747193.7662,101.555,14976512.629259301,7.179934675581859e-05,2.5,1.83741963128808,2028-06-20 00:00:00,MOTHER FUND
872,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0905.9033,JP374060D4A2,日本高速道路保有・債務返済機構承継　財投,JAPAN EXPRESSWAY HOLDING,14747193.7662,101.46,14962502.7951815,7.173218179159466e-05,2.91,6.99633114913254,2034-06-20 00:00:00,MOTHER FUND
873,地方債証券,Municipal Bond,B.0109.9002,JP23400028B3,広島県　公募（２０年）平成２０年度第１回,HIROSHIMA PREFECTURE,14747193.7662,101.427,14957636.221238602,7.170885080402173e-05,2.34,2.06875500264581,2028-09-21 00:00:00,MOTHER FUND
874,地方債証券,Municipal Bond,B.0100.7015,JP21300018B9,東京都　公募（２０年）第１５回,TOKYO METROPOLITAN GOVT,14747193.7662,101.38400000000001,14951294.927919202,7.167844982021523e-05,2.32,2.06649385684167,2028-09-20 00:00:00,MOTHER FUND
875,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5158,JP339170DL63,貸付債権担保第１５８回住宅金融支援機構債,KIKO 158 1,21271647.2322,70.279,14949500.931797503,7.16698491697962e-05,0.36,0.30455411361205,2055-07-10 00:00:00,MOTHER FUND
876,地方債証券,Municipal Bond,B.0151.8010,JP2231001989,名古屋市　公募（２０年）第１０回,NAGOYA CITY,14747193.7662,101.364,14948345.489165902,7.166430982774665e-05,2.26,2.90631703565612,2029-08-17 00:00:00,MOTHER FUND
877,地方債証券,Municipal Bond,B.0110.8006,JP21100028C8,埼玉県　公募（２０年）第６回,SAITAMA PREFECTURE,14747193.7662,101.262,14933303.351524401,7.159219586615851e-05,2.26,2.07058219733255,2028-09-21 00:00:00,MOTHER FUND
878,地方債証券,Municipal Bond,B.0154.8018,JP2141002952,横浜市　公募（２０年）第１８回,YOKOHAMA CITY,14747193.7662,101.23300000000002,14929026.665332202,7.157169287707948e-05,2.21,2.71654454348367,2029-05-25 00:00:00,MOTHER FUND
879,地方債証券,Municipal Bond,B.1292.96,JP364890B925,愛知県・名古屋市折半保証名古屋高速道路債,NAGOYA EXPRESSWAY CORP,14747193.7662,101.19000000000001,14922685.3720127,7.15412918932725e-05,2.34,2.31118973152536,2028-12-20 00:00:00,MOTHER FUND
880,地方債証券,Municipal Bond,B.0150.8006,JP2271001923,大阪市　公募（２０年）第６回,OSAKA CITY,14747193.7662,101.17,14919735.9332595,7.15271519008044e-05,2.21,2.31562077463119,2028-12-20 00:00:00,MOTHER FUND
881,地方債証券,Municipal Bond,B.0106.8008,JP22800019B0,兵庫県　公募第９回,HYOGO PREFECTURE,14747193.7662,101.16800000000002,14919440.989384202,7.15257379015577e-05,2.25,3.16058627684687,2029-11-19 00:00:00,MOTHER FUND
