No.,種別 （Sector）,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,残高数量 Quantity,単価 Price,評価金額（現地通貨） Valuation (local),為替レート FX Rate,評価金額(円） Valuation (yen),純資産比率 % of NAV,クーポン Coupon,修正デュレーション Modified Duration,償還日 Maturity Date,MOTHER FUND/DIRECT
56,国債,B.20380129.GB01,US91087BBF67,UNITED MEXICAN STATES,メキシコ,MX,アメリカ・ドル,USD,168822.6214,100.05,168907.032729995,160.72,27146738.3003648,0.007042797711545674,6.625,7.71728252891325,2038-01-29 00:00:00,MOTHER FUND
57,国債,B.20290222.GB00,USP3579ECP09,DOMINICAN REPUBLIC,ドミニカ共和国,DO,アメリカ・ドル,USD,168822.6215,99.726,168360.04743659598,160.72,27058826.79649791,0.0070199904434532145,5.5,2.20217312319957,2029-02-22 00:00:00,MOTHER FUND
58,国債,B.20380331.GB00,USP97475AJ95,REPUBLIC OF VENEZUELA,ベネズエラ,VE,アメリカ・ドル,USD,375161.3809,44.2659,166068.561721865,160.72,26690539.2474414,0.006924443984833134,0,11.2666602265403,2038-03-31 00:00:00,MOTHER FUND
59,国債,B.20330117.GB00,XS2571923007,ROMANIA,ルーマニア,RO,アメリカ・ドル,USD,156317.2421,105.24,164508.26553857,160.72,26439768.437359,0.006859385410656396,7.125,5.15718695102637,2033-01-17 00:00:00,MOTHER FUND
60,国債,B.20310322.GB01,US91087BBJ89,UNITED MEXICAN STATES,メキシコ,MX,アメリカ・ドル,USD,168822.6214,97.30000000000001,164264.410640964,160.72,26400576.078215804,0.006849217564551655,4.75,3.95300055810926,2031-03-22 00:00:00,MOTHER FUND
61,国債,B.20550923.GB00,XS3101499773,HUNGARY,ハンガリー,HU,アメリカ・ドル,USD,156317.2421,103.64102000000001,162008.7841015606,160.72,26038051.695766244,0.006755166269591445,6.75,12.6560948762628,2055-09-23 00:00:00,MOTHER FUND
62,国債,B.20540116.GB00,XS2747599509,SAUDI INTERNATIONAL BOND,サウジアラビア,SA,アメリカ・ドル,USD,175075.3111,91.68974000000001,160526.097553139,160.72,25799754.376330905,0.006693343747953029,5.75,13.1015018220053,2054-01-16 00:00:00,MOTHER FUND
63,国債,B.20360624.GB00,US718286DN44,REPUBLIC OF PHILIPPINES,フィリピン,PH,アメリカ・ドル,USD,162569.9317,97.88896,159138.015450147,160.72,25576661.8474495,0.0066354658720003306,5.325,7.54242665273467,2036-06-24 00:00:00,MOTHER FUND
64,国債,B.20271116.GB01,US857524AD47,REPUBLIC OF POLAND,ポーランド,PL,アメリカ・ドル,USD,156317.242,101.20533,158201.3806685532,160.72,25426125.967328504,0.006596411686547509,5.5,0.983140682331083,2027-11-16 00:00:00,MOTHER FUND
65,国債,B.20320529.GB01,US900123DQ00,REPUBLIC OF TURKIYE,トルコ,TR,アメリカ・ドル,USD,156317.2421,100.69334000000002,157401.052020957,160.72,25297497.073305003,0.006563040926847247,7.25,4.64161374405972,2032-05-29 00:00:00,MOTHER FUND
66,国債,B.20560414.GB00,US857524AL62,REPUBLIC OF POLAND,ポーランド,PL,アメリカ・ドル,USD,162569.9316,96.66812,157153.2966955279,160.72,25257677.88202117,0.006552710458923386,6.125,13.0340203325404,2056-04-14 00:00:00,MOTHER FUND
67,国債,B.20340130.GB00,XS2756521303,ROMANIA,ルーマニア,RO,アメリカ・ドル,USD,156317.2421,100.27500000000002,156747.114470545,160.72,25192396.237706006,0.006535774154822992,6.375,5.89260611245594,2034-01-30 00:00:00,MOTHER FUND
68,国債,B.20350324.GB00,XS2908633683,ROMANIA,ルーマニア,RO,アメリカ・ドル,USD,162569.9317,95.70481000000001,155587.244286111,160.72,25005981.923973404,0.006487411869541092,5.75,6.5415522929312,2035-03-24 00:00:00,MOTHER FUND
69,国債,B.20540808.GB00,US715638EC21,REPUBLIC OF PERU,ペルー,PE,アメリカ・ドル,USD,162569.9318,95.425,155132.3573601176,160.72,24932872.474918097,0.006468444763629434,5.875,12.8606639326775,2054-08-08 00:00:00,MOTHER FUND
70,国債,B.20320414.GB00,XS2446175577,REPUBLIC OF ANGOLA,アンゴラ共和国,AO,アメリカ・ドル,USD,150064.5524,102.19254,153354.77770929,160.72,24647179.892745502,0.006394326280529618,8.75,4.33543882730539,2032-04-14 00:00:00,MOTHER FUND
71,国債,B.20540513.GB00,US105756CJ75,FED REPUBLIC OF BRAZIL,ブラジル,BR,アメリカ・ドル,USD,156317.2421,96.32500000000002,150572.583409376,160.72,24200025.605555005,0.00627831907717102,7.125,11.5883604037469,2054-05-13 00:00:00,MOTHER FUND
72,国債,B.20300713.GB01,US900123DJ66,REPUBLIC OF TURKEY,トルコ,TR,アメリカ・ドル,USD,137559.173,108.69193,149515.720034767,160.72,24030166.538294,0.006234251792293005,9.125,3.312344291658,2030-07-13 00:00:00,MOTHER FUND
73,国債,B.20331020.GB00,US105756CF53,FED REPUBLIC OF BRAZIL,ブラジル,BR,アメリカ・ドル,USD,150064.5524,99.60000000000001,149464.294163207,160.72,24021901.3579107,0.006232107520195011,6,5.69409895333287,2033-10-20 00:00:00,MOTHER FUND
