Fund Holdings as of,"2026/08/21"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"OERL","OC OERLIKON CORPORATION","Industrials","Equity","3,392,017.99","0.06","3,392,017.99","546,638.00","-","Switzerland","SIX Swiss Exchange","JPY","-","CHF"
"FORTY","FORMULA SYSTEMS LTD","Information Technology","Equity","3,216,271.53","0.06","3,216,271.53","27,774.00","-","Israel","Tel Aviv Stock Exchange","JPY","-","ILS"
"7734","RIKEN KEIKI LTD","Information Technology","Equity","3,052,760.58","0.05","3,052,760.58","149,700.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"DUE","DUERR AG","Industrials","Equity","2,973,785.90","0.05","2,973,785.90","149,529.00","-","Germany","Xetra","JPY","-","EUR"
"2590","BEIJING GEEKPLUS TECHNOLOGY CLASS","Industrials","Equity","2,873,121.00","0.05","2,873,121.00","2,249,200.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
"6526","AIROHA TECHNOLOGY CORP","Information Technology","Equity","2,850,318.45","0.05","2,850,318.45","156,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"ASAN","ASANA CLASS A","Information Technology","Equity","2,763,001.38","0.05","2,763,001.38","291,150.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"140860","PARKSYSTEMS CORP","Information Technology","Equity","2,352,555.52","0.04","2,352,555.52","12,261.00","-","Korea (South)","Korea Exchange (Kosdaq)","JPY","-","KRW"
"CEVA","CEVA","Information Technology","Equity","2,289,709.47","0.04","2,289,709.47","81,486.00","-","United States","NASDAQ","JPY","-","USD"
"TWD","TWD CASH","Cash and/or Derivatives","Cash","2,254,671.41","0.04","2,254,671.41","72,194,838.00","-","Taiwan","-","JPY","-","TWD"
"6777","SANTEC HOLDINGS","Information Technology","Equity","2,244,104.38","0.04","2,244,104.38","19,400.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6914","OPTEX GROUP LTD","Information Technology","Equity","2,214,071.75","0.04","2,214,071.75","107,100.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"INDI","INDIE SEMICONDUCTOR INC CLASS A","Information Technology","Equity","2,206,285.52","0.04","2,206,285.52","552,160.00","-","United States","NASDAQ","JPY","-","USD"
