Ticker,Name,Fee,TER,Bought,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Dividend yield,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Avg Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 10D,Price 15D,Price 20D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
6323,Rorze Corporation,,,,0.10114,0.1479,0.22214001,0.17001,-0.59,0.0043,3.64984390675639,0.253518088911783,0.0819280325975801,-0.0547504668359609,12610395000,807324745728,42.554165,33.864395,6.199269,0.0150457915394679,0.0555555555555556,-0.0576923076923077,-0.0836614173228347,0.0275938189845475,-0.04296875,0.116842610364683,0.183574879227053,0.331901181525242,-0.0977443609022556,0.143931256713212,4655,,,1,Strong Buy,1.25660490907929,Technology,Semiconductor
6326,Kubota Corporation,,,,0.031630002,0.070149995,0.12104,0.79694,0.792,0.0192,-0.382472223479587,-0.275816390719377,-0.30648601269537,-0.25527241999345,7807824900,3056050110464,16.61157,13.786708,1.1481777,-0.00403743806202973,-0.0233939175814288,-0.0116554361682754,0.019921067468521,-0.00440286186020914,-0.0376302342755807,0.011776741406813,-0.0361064949855318,0.378293716602174,-0.170812603648425,0.153491800257969,2713.5,,,2,Buy,1.20489749982374,Industrials,-
6361,Ebara Corporation,,,,0.04178,0.04546,0.074200004,0.39549,0.359,0.0108,-0.190547685250959,0.104373328891979,0.0358190839782123,-0.0150671292470473,20349176210,2798897332224,36.90075,40.077183,2.2299793,0.0457415941286909,0.0344420057403343,0.0105558304469734,-0.0274603174603175,-0.0141592920353982,-0.0610468289957715,0.118694664131168,0.083852279354655,0.273053696752081,-0.281867145421903,0.00909531581524398,6127,,,1.5,Buy,0.92074210904494,Industrials,-
6367,"Daikin Industries,Ltd.",,,,0.04741,0.05488,0.0794,0.33004,0.023,0.0143,-0.158329437431822,0.0885791144967835,0.0812929753661319,-0.138823946464002,33679791900,6989020135424,26.738083,25.357233,2.2593045,-0.00258192651439921,-0.0334872979214781,-0.0227670753064799,0.0127041742286751,0.0440748440748441,0.0510673922143156,0.0903169778549718,0.0783766373201632,0.174830744723218,-0.362803663878933,-0.0142148944643569,25110,,,2.4,Buy,1.05445586275127,Industrials,-
6471,NSK Ltd.,,,,0.01579,0.02508,0.02513,0.43479,0.916,0.0294,-0.346278978084263,-0.285328191467161,-0.236520180504061,-0.249505070120786,2832421680,566633693184,24.876478,19.910591,0.843236,0.018021978021978,-0.0169779286926995,-0.0219594594594595,-0.00472711645896003,-0.00258397932816538,-0.0297444490992878,0.0512936904221516,-0.0728582866293034,0.468048359240069,-0.0587219343696028,0.185952849740933,1158,,,,,1.2494093219031,Consumer Cyclical,-
6472,NTN Corporation,,,,0.02236,0.015579999,0.05262,1.025,,0.0333,-0.397934900980115,-0.356223232221197,-0.358964578212307,-0.358895443514348,1665551455,231916912640,16.663818,16.432182,0.7811405,0.00179765309318863,-0.0339276577690062,-0.0457436114270118,-0.0367901234567901,-0.0355995055624227,-0.111187046195298,-0.0522351938403724,-0.139042165647472,0.281722635221738,-0.0771597026403487,0.0638297872340425,390.1,,,,,1.01409648456912,Industrials,-
6473,JTEKT Corporation,,,,0.02668,0.00622,0.05613,0.2631,,0.0332,-0.076359894396788,-0.220614923348122,-0.177594906156976,0.0584739883168537,3039497200,671680167936,56.17678,16.795351,0.8500065,0.023030303030303,-0.0117096018735363,-0.00985452839042703,0.0445544554455446,0.0399211434204041,0.0255164034021871,0.0595028872709013,-0.025854108956602,0.398104265402844,-0.317535545023697,0.181279620853081,2110,,,1.8,Buy,3.34478154103478,Consumer Cyclical,-
6479,MINEBEA MITSUMI Inc.,,,,0.03888,0.059499998,0.07067,0.56759,2.141,0.0137,-0.0981004114184571,0.177500558041646,0.398005138055006,0.454458457603109,16372936060,1759389941760,17.76201,20.396667,1.9571149,0.00251716247139588,0.00205855443732845,-0.0963283828382838,-0.123449379751901,-0.0882414151925078,-0.0533707865168539,0.0349633829435389,-0.0396755808855765,0.30107281442593,-0.475005706459712,0.0787491440310432,4381,,,1.9,Buy,0.870829042803905,Technology,-
6501,"Hitachi, Ltd.",,,,0.05768,0.07579,0.15605,0.14899,-0.102,0.0117,-0.180892791842333,-0.355693517304043,-0.129061957511439,-0.152217560266606,57760650000,21076742504448,26.595745,26.385223,3.2198067,-0.0121899957965532,-0.0489680291380008,0.0184182015167931,0.045373665480427,0.0495757034390353,-0.0134340890008396,0.00923341206785484,-0.0902051877661634,0.468085106382979,-0.0212765957446809,0.276595744680851,4700,,,1.6,Buy,1.00797878418538,Industrials,Momentum
6503,Mitsubishi Electric Corporation,,,,0.03688,0.06917,0.06351,0.07846,,0.0103,-0.415750338538082,-0.291109301549924,-0.304096436669462,-0.165671407840855,27828877950,11924581384192,29.411469,35.285213,2.6592042,0.00760850769496801,-0.0201782411299815,-0.0196837146702557,-0.0343056015909844,-0.00529190850119495,-0.0370186745992398,0.0508566275924256,-0.111466910643489,0.372919169383903,-0.467993821863738,0.1387874377896,5827,,,1.9,Buy,0.833535254555499,Industrials,-
