Ticker,Name,Short name,Region,Company
2082,Investor-Management Unite as One ETF,investorManagement,JP,simplex
2083,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,japanGrowth,JP,nextFunds
2084,NEXT FUNDS Japan High Dividend Equity Active Exchange Traded Fund,japanHighdiv,JP,nextFunds
2085,MAXIS High Dividend Japan Equity Actively Managed ETF,japanHighdivActive,JP,maxis
2086,NZAM ETF S&P500 (JPY Hedged),sp500Hedge,US,nzam
2087,NZAM ETF NASDAQ100 (JPY Hedged),nasdaq100Hedge,US,nzam
2088,NZAM ETF NY Dow30 (JPY Hedged),dow30Hedge,US,nzam
2089,NZAM ETF DAX (JPY Hedged),daxHedge,DE,nzam
2090,NZAM ETF US Treasury 7-10Y (JPY Hedged),ust710Hedge,US,nzam
2091,NZAM ETF German Government Bond 7-10Y (JPY Hedged),germanyGovbond710Hedge,DE,nzam
2092,NZAM ETF France Government Bond 7-10Y (JPY Hedged),franceGovbond710Hedge,FR,nzam
2093,Listed Tracers US Government Bond 0-2years Ladder (No Currency Hedge),ust02,US,amova
2095,Global X S&P 500 Dividend Aristocrats ETF (JPY Hedged),sp500DividendHedge,US,globalX
2096,Global X Office J-REIT ETF,officeReit,JP,globalX
2097,Global X Residential J-REIT ETF,residentialReit,JP,globalX
2098,Global X Hotel & Retail J-REIT ETF,hotelretailReit,JP,globalX
2235,Listed Index Fund US Equity (Dow Average) No Currency Hedge,dowAverage,US,amova
2236,Global X S&P 500 Dividend Aristocrats ETF,sp500Dividend,US,globalX
2241,MAXIS NY Dow Industrial Average ETF,dow,US,maxis
2242,MAXIS NY Dow Industrial Average ETF (JPY Hedged),dowHedge,US,maxis
2243,Global X Semiconductor ETF,semis,US,globalX
2244,Global X US Tech Top 20 ETF,usTech20,US,globalX
2245,NEXT FUNDS Bloomberg Germany Treasury Bond (7-10 year) Index Yen-Hedged ETF,germanyGovbond710Hedge,DE,nextFunds
2247,iFreeETF S&P500 (NON HEDGED),sp500,US,ifree
2248,iFreeETF S&P500 (JPY HEDGED),sp500Hedge,US,ifree
2250,iShares MSCI Japan Climate Action ETF,climate,JP,ishares
2252,Global X Morningstar US Small Mid Moat ETF,usSmallMid,US,globalX
2253,Global X SuperDividend U.S. ETF,usDividend,US,globalX
2254,Global X China Electric Vehicle and Battery ETF,chinaEv,CN,globalX
2255,iShares 20+ Year US Treasury Bond ETF,ust20,US,ishares
2256,iShares US Aggregate Bond ETF,usAggBond,US,ishares
2257,iShares USD Investment Grade Corporate Bond ETF,corpoBond,US,ishares
2258,iShares USD High Yield Corporate Bond ETF,corpoBond,US,ishares
2259,iShares 7-10 Year France Government Bond JPY Hedged ETF,franceGovbond710Hedge,FR,ishares
2510,NEXT FUNDS Japan Bond NOMURA-BPI Exchange Traded Fund,jgb,JP,nextFunds
2511,NEXT FUNDS International Bond FTSE World Government Bd Idx ex Jpn UnHdg ETF,govbond,GLOBAL,nextFunds
2512,NEXT FUNDS International Bond FTSE World Government Bd Idx ex Jpn Hdg ETF,govbondHedge,GLOBAL,nextFunds
2513,NEXT FUNDS International Equity MSCI-KOKUSAI (Unhedged) ETF,kokusai,GLOBAL,nextFunds
2514,NEXT FUNDS International Equity MSCI-KOKUSAI (Yen-Hedged) ETF,kokusaiHedge,GLOBAL,nextFunds
2515,NEXT FUNDS International REIT S&P Developed REIT Index (ex Japan UnHdg) ETF,reitGlobal,GLOBAL,nextFunds
2516,TSE Growth 250 ETF,growth250,JP,simplex
2517,MAXIS J-REIT Core ETF,jreit,JP,maxis
2518,NEXT FUNDS MSCI Japan Empowering Women Select Index Exchange Traded Fund,women,JP,nextFunds
2519,NEXT FUNDS Emerging Market Bond J.P. Morgan EMBI Plus (Unhedged) Exchange Traded Fund,emBond,EM,nextFunds
2520,NEXT FUNDS Emerging Market Equity MSCI-EM (Unhedged) Exchange Traded Fund,em,EM,nextFunds
2521,Listed Index Fund US Equity (S&P500) Currency Hedge,sp500Hedge,US,amova
2522,iShares Automation & Robot ETF,automationRobot,GLOBAL,ishares
2523,MAXIS TOPIX Ex-Financials ETF,topixExFinancials,JP,maxis
2524,NZAM ETF TOPIX,topix,JP,nzam
2525,NZAM ETF Nikkei 225,nikkei,JP,nzam
2526,NZAM ETF JPX-Nikkei400,nikkei400,JP,nzam
2527,NZAM ETF J-REIT Core Index,jreit,JP,nzam
2528,iFreeETF Tokyo Stock Exchange REIT Core Index,jreit,JP,daiwa
2529,NEXT FUNDS Nomura Shareholder Yield 70 Exchange Traded Fund,shareholderYield,JP,nextFunds
2530,MAXIS HuaAn China Equity (SSE 180 index) ETF,sse180,CN,maxis
2552,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index) Bi-Monthly Mini,jreit,JP,amova
2553,One ETF Southern China A-Share CSI 500,csi500,CN,one
2554,NEXT FUNDS Bloomberg US Intermediate Corporate Index (JPY Hedged) Exchange Traded Fund,intermCorpoBondHedge,US,nextFunds
2555,TSE REIT ETF,jreit,JP,simplex
2556,One ETF Tokyo Stock Exchange REIT Index,jreit,JP,one
2557,SMDAM TOPIX ETF,topix,JP,smdam
2558,MAXIS S&P500 US Equity ETF,sp500,US,maxis
2559,MAXIS World Equity (MSCI ACWI) ETF,msciAcwi,GLOBAL,maxis
2560,MAXIS Carbon Efficient Japan Equity ETF,carbon,JP,maxis
2561,iShares Core Japan Government Bond ETF,jgb,JP,ishares
2562,Listed Index Fund US Equity (Dow Average) Currency Hedge,dowAverageHedge,US,amova
2563,iShares S&P 500 JPY Hedged ETF,sp500Hedge,US,ishares
2564,Global X MSCI SuperDividend Japan ETF,japanHighdiv,JP,globalX
2565,Global X Logistics J-REIT ETF,logisticsReit,JP,globalX
2566,Listed Index Fund Nikkei ESG REIT,esgReit,JP,amova
2567,NZAM ETF S&P/JPX Carbon Efficient Index,carbon,JP,nzam
2568,Listed Index Fund US Equity (NASDAQ100) No Currency Hedge,nasdaq100,US,amova
2569,Listed Index Fund US Equity (NASDAQ100) Currency Hedge,nasdaq100Hedge,US,amova
2620,iShares 1-3 Year US Treasury Bond ETF,ust13,US,ishares
2621,iShares 20+ Year US Treasury Bond JPY Hedged ETF,ust20Hedge,US,ishares
2622,iShares USD Emerging Markets Bond JPY Hedged ETF,emBond,EM,ishares
2623,iShares Euro Investment Grade Corporate Bond JPY Hedged ETF,euroCorpoBondHedge,EU,ishares
2624,iFreeETF-Nikkei225(Quarterly Dividend Type),nikkei,JP,ifree
2625,iFreeETF-TOPIX(Quarterly Dividend Type),topix,JP,ifree
2626,Global X Digital Innovation Japan ETF,digital,JP,globalX
