1593,MAXIS JPX日経インデックス400上場投信,,,,,三菱 UFJ アセットマネジメント株式会社
,（ＭＡＸＩＳ　ＪＰＸ－Ｎｉｋｋｅｉ４００）,,,,,"Mitsubishi UFJ Asset Management Co., Ltd."
,,,,,,
Net Asset / JPY,純資産総額／日本円（Net Asset / JPY),1182958398471 ,,Date,基準日：,2026/09/03
Common Stocks*,株式組入比率(Common Stocks)*,98.77%,,,,
Future contracts*,先物組入比率(Future contracts)*,1.23%,,,,
Option*,オプション組入比率(Option)*,0.00%,,,,
Bonds*,債券組入比率(Bonds)*,0.00%,,,,
Cash,Cash比率,1.23%,,,,
Number of Holdings,保有銘柄数（Number of Holdings),401 ,,,,
*% of net asset,  * : 対純資産総額比（% of net asset）,,,,,
,,,,,,
保有銘柄（Holdings Detail),Holdings Detail,,,,,
No,銘柄コード(code),銘柄名,銘柄名(英語),株数,評価額,純資産比率
,code,name(Jp),Name(En),Shares Held,Market Value/Jpy,(% of net asset)
141,4816,東映アニメーション　　　　　　　　　　　,"TOEI ANIMATION CO.,LTD.                                                         ",120100 ,367506000 ,0.03%
142,4901,富士フイルムホールディングス　　　　　　,FUJIFILM HOLDINGS CORPORATION                                                   ,1834400 ,6097545600 ,0.52%
143,4966,上村工業　　　　　　　　　　　　　　　　,"C.UYEMURA & CO.,LTD.                                                            ",16600 ,316728000 ,0.03%
144,4980,デクセリアルズ　　　　　　　　　　　　　,DEXERIALS CORPORATION                                                           ,259700 ,746507650 ,0.06%
145,5019,出光興産　　　　　　　　　　　　　　　　,"IDEMITSU KOSAN CO.,LTD.                                                         ",1258700 ,1874833650 ,0.16%
146,5020,ＥＮＥＯＳホールディングス　　　　　　　,"ENEOS HOLDINGS,INC.                                                             ",4332800 ,5944601600 ,0.50%
147,5021,コスモエネルギーホールディングス　　　　,"COSMO ENERGY HOLDINGS COMPANY,LIMITED                                           ",169800 ,749497200 ,0.06%
148,5032,ＡＮＹＣＯＬＯＲ　　　　　　　　　　　　,ANYCOLOR INC.                                                                   ,48900 ,145868700 ,0.01%
149,5076,インフロニア・ホールディングス　　　　　,INFRONEER HOLDINGS INC.                                                         ,314300 ,866053650 ,0.07%
150,5101,横浜ゴム　　　　　　　　　　　　　　　　,"THE YOKOHAMA RUBBER COMPANY,LIMITED                                             ",152200 ,1069661600 ,0.09%
151,5105,ＴＯＹＯ　ＴＩＲＥ　　　　　　　　　　　,TOYO TIRE CORPORATION                                                           ,211400 ,775838000 ,0.07%
152,5108,ブリヂストン　　　　　　　　　　　　　　,BRIDGESTONE CORPORATION                                                         ,1677800 ,6823612600 ,0.58%
153,5332,ＴＯＴＯ　　　　　　　　　　　　　　　　,TOTO LTD.                                                                       ,190200 ,1123891800 ,0.10%
154,5333,ＮＧＫ　　　　　　　　　　　　　　　　　,NGK CORPORATION                                                                 ,327000 ,1674567000 ,0.14%
